Date,Attendance
5/11/2023,87.26765261170547
5/10/2023,87.60908632640201
5/09/2023,87.46170012547053
5/08/2023,86.24574842767295
5/05/2023,85.09007532956684
5/04/2023,86.41152201257862
5/03/2023,88.88674228103338
5/02/2023,88.3239029003783
5/01/2023,87.09335651074589
4/28/2023,85.49974278544542
4/27/2023,86.91675726927939
4/26/2023,87.9302712933754
4/25/2023,87.85635614702156
4/24/2023,87.18314627994955
4/20/2023,87.67580340264651
4/19/2023,90.9225
4/18/2023,89.31
4/17/2023,86.58449999999998
4/05/2023,82.32268675455114
4/04/2023,87.24334174022698
4/03/2023,86.85765634870498
3/31/2023,85.65027078085643
3/30/2023,87.77422907488987
3/29/2023,88.47603274559194
3/27/2023,87.15131313131313
3/24/2023,82.39299306868307
3/23/2023,87.10944444444443
